Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
received Time: 4389.699999998438	 sent Time 2402.5999999989103
received Time: 4524.99999999893	 sent Time 2402.5999999989103
received Time: 3469.29999999794	 sent Time 2402.5999999989103
received Time: 5272.100000001648	 sent Time 2402.5999999989103
received Time: 3325.0999999980713	 sent Time 2402.5999999989103
received Time: 2571.5999999987566	 sent Time 2402.5999999989103
received Time: 5091.600000000992	 sent Time 2402.5999999989103
received Time: 3897.299999997551	 sent Time 2402.5999999989103
received Time: 3222.099999998165	 sent Time 2402.5999999989103
received Time: 3897.4999999975507	 sent Time 2402.5999999989103
received Time: 3647.699999997778	 sent Time 2402.5999999989103
received Time: 3469.49999999794	 sent Time 2402.5999999989103
received Time: 3897.399999997551	 sent Time 2402.5999999989103
received Time: 2795.1999999985533	 sent Time 2402.5999999989103
received Time: 2794.6999999985537	 sent Time 2402.5999999989103
received Time: 3646.699999997779	 sent Time 2402.5999999989103
received Time: 5092.400000000995	 sent Time 2402.5999999989103
received Time: 2403.3999999989096	 sent Time 2402.5999999989103
received Time: 3897.9999999975503	 sent Time 2402.5999999989103
received Time: 4543.599999998998	 sent Time 2402.5999999989103
received Time: 3647.2999999977783	 sent Time 2402.5999999989103
received Time: 2659.8999999986763	 sent Time 2402.5999999989103
received Time: 2726.099999998616	 sent Time 2402.5999999989103
received Time: 3897.199999997551	 sent Time 2402.5999999989103
received Time: 2627.499999998706	 sent Time 2402.5999999989103
received Time: 4390.399999998441	 sent Time 2402.5999999989103
received Time: 5371.50000000201	 sent Time 2402.5999999989103
received Time: 3468.499999997941	 sent Time 2402.5999999989103
received Time: 2744.1999999985997	 sent Time 2402.5999999989103
received Time: 3647.1999999977784	 sent Time 2402.5999999989103
received Time: 3325.299999998071	 sent Time 2402.5999999989103
received Time: 3469.1999999979403	 sent Time 2402.5999999989103
received Time: 2660.6999999986756	 sent Time 2402.5999999989103
received Time: 3469.8999999979396	 sent Time 2402.5999999989103
received Time: 3646.8999999977787	 sent Time 2402.5999999989103
received Time: 2659.6999999986765	 sent Time 2402.5999999989103
received Time: 2427.4999999988877	 sent Time 2402.5999999989103
received Time: 4388.499999998434	 sent Time 2402.5999999989103
received Time: 4388.699999998435	 sent Time 2402.5999999989103
received Time: 3468.6999999979407	 sent Time 2402.5999999989103
received Time: 5058.400000000871	 sent Time 2402.5999999989103
received Time: 4343.999999998272	 sent Time 2402.5999999989103
received Time: 3324.9999999980714	 sent Time 2402.5999999989103
received Time: 4388.3999999984335	 sent Time 2402.5999999989103
received Time: 3470.2999999979393	 sent Time 2402.5999999989103
received Time: 5272.000000001648	 sent Time 3484.3999999979264
received Time: 5271.900000001648	 sent Time 3484.3999999979264
received Time: 4344.099999998272	 sent Time 3484.3999999979264
received Time: 4343.699999998271	 sent Time 3484.3999999979264
received Time: 4343.199999998269	 sent Time 3484.3999999979264
received Time: 4390.29999999844	 sent Time 3484.3999999979264
received Time: 4388.899999998435	 sent Time 3484.3999999979264
received Time: 4343.899999998272	 sent Time 3484.3999999979264
received Time: 4543.199999998997	 sent Time 3484.3999999979264
received Time: 4342.699999998267	 sent Time 3484.3999999979264
received Time: 5059.300000000874	 sent Time 3484.3999999979264
received Time: 4343.099999998269	 sent Time 3484.3999999979264
received Time: 5057.900000000869	 sent Time 3484.3999999979264
received Time: 4804.599999999948	 sent Time 3484.3999999979264
received Time: 3646.9999999977786	 sent Time 3484.3999999979264
received Time: 5091.900000000993	 sent Time 3484.3999999979264
received Time: 3512.6999999979007	 sent Time 3484.3999999979264
received Time: 5058.300000000871	 sent Time 3484.3999999979264
received Time: 5800.600000003571	 sent Time 3484.3999999979264
received Time: 5491.600000002447	 sent Time 3484.3999999979264
received Time: 3512.499999997901	 sent Time 3484.3999999979264
received Time: 5058.600000000872	 sent Time 3484.3999999979264
received Time: 4525.2999999989315	 sent Time 3484.3999999979264
received Time: 5059.000000000873	 sent Time 3484.3999999979264
received Time: 5672.100000003104	 sent Time 3484.3999999979264
received Time: 5354.000000001946	 sent Time 3484.3999999979264
received Time: 5371.40000000201	 sent Time 3484.3999999979264
received Time: 4344.599999998274	 sent Time 3484.3999999979264
received Time: 4343.799999998271	 sent Time 3484.3999999979264
received Time: 5800.40000000357	 sent Time 3484.3999999979264
received Time: 3897.7999999975505	 sent Time 3484.3999999979264
received Time: 5427.600000002214	 sent Time 3484.3999999979264
received Time: 4542.999999998996	 sent Time 3484.3999999979264
received Time: 5271.500000001646	 sent Time 3484.3999999979264
received Time: 5058.800000000872	 sent Time 3484.3999999979264
received Time: 4342.999999998268	 sent Time 3484.3999999979264
received Time: 4805.3999999999505	 sent Time 3484.3999999979264
received Time: 4343.49999999827	 sent Time 3484.3999999979264
received Time: 5092.300000000994	 sent Time 3484.3999999979264
received Time: 4543.099999998996	 sent Time 3484.3999999979264
received Time: 5354.200000001947	 sent Time 3484.3999999979264
received Time: 4542.699999998995	 sent Time 3484.3999999979264
received Time: 4343.5999999982705	 sent Time 3484.3999999979264
received Time: 3498.7999999979133	 sent Time 3484.3999999979264
received Time: 5427.400000002213	 sent Time 3484.3999999979264
received Time: 4804.799999999948	 sent Time 3484.3999999979264
received Time: 4344.299999998273	 sent Time 3484.3999999979264
received Time: 4390.19999999844	 sent Time 3484.3999999979264
received Time: 5427.800000002215	 sent Time 3484.3999999979264
received Time: 3570.8999999978478	 sent Time 3484.3999999979264
received Time: 4543.499999998998	 sent Time 3484.3999999979264
received Time: 5427.900000002215	 sent Time 3484.3999999979264
received Time: 3646.7999999977787	 sent Time 3484.3999999979264
received Time: 5091.800000000992	 sent Time 3484.3999999979264
received Time: 3484.5999999979263	 sent Time 3484.3999999979264
received Time: 4804.999999999949	 sent Time 3484.3999999979264
received Time: 4542.799999998995	 sent Time 3484.3999999979264
received Time: 4805.19999999995	 sent Time 3484.3999999979264
received Time: 4344.399999998273	 sent Time 3484.3999999979264
received Time: 5059.900000000876	 sent Time 3484.3999999979264
received Time: 5271.700000001647	 sent Time 3484.3999999979264
received Time: 5059.200000000874	 sent Time 3484.3999999979264
received Time: 4342.799999998268	 sent Time 3484.3999999979264
received Time: 4388.099999998432	 sent Time 3484.3999999979264
received Time: 4805.29999999995	 sent Time 3484.3999999979264
received Time: 4804.699999999948	 sent Time 3484.3999999979264
received Time: 7408.30000000942	 sent Time 4385.399999998423
received Time: 5271.400000001646	 sent Time 4385.399999998423
received Time: 5058.500000000871	 sent Time 4385.399999998423
received Time: 5058.900000000873	 sent Time 4385.399999998423
received Time: 5536.900000002612	 sent Time 4385.399999998423
received Time: 8287.100000012617	 sent Time 4385.399999998423
received Time: 4425.299999998568	 sent Time 4385.399999998423
received Time: 5354.100000001947	 sent Time 4385.399999998423
received Time: 6343.000000005544	 sent Time 4385.399999998423
received Time: 7406.800000009414	 sent Time 4385.399999998423
received Time: 7017.500000007998	 sent Time 4385.399999998423
received Time: 5058.10000000087	 sent Time 4385.399999998423
received Time: 5427.500000002214	 sent Time 4385.399999998423
received Time: 6106.4000000046835	 sent Time 4385.399999998423
received Time: 7177.800000008581	 sent Time 4385.399999998423
received Time: 5800.900000003572	 sent Time 4385.399999998423
received Time: 5371.60000000201	 sent Time 4385.399999998423
received Time: 6172.500000004924	 sent Time 4385.399999998423
received Time: 5800.30000000357	 sent Time 4385.399999998423
received Time: 5491.700000002447	 sent Time 4385.399999998423
received Time: 6172.9000000049255	 sent Time 4385.399999998423
received Time: 4542.899999998996	 sent Time 4385.399999998423
received Time: 8284.900000012609	 sent Time 4385.399999998423
received Time: 5672.300000003104	 sent Time 4385.399999998423
received Time: 5354.300000001947	 sent Time 4385.399999998423
received Time: 5371.700000002011	 sent Time 4385.399999998423
received Time: 5092.000000000993	 sent Time 4385.399999998423
received Time: 7591.900000010088	 sent Time 4385.399999998423
received Time: 4525.099999998931	 sent Time 4385.399999998423
received Time: 7017.300000007997	 sent Time 4385.399999998423
received Time: 7407.200000009416	 sent Time 4385.399999998423
received Time: 5427.700000002214	 sent Time 4385.399999998423
received Time: 5059.1000000008735	 sent Time 4385.399999998423
received Time: 5354.400000001948	 sent Time 4385.399999998423
received Time: 5059.600000000875	 sent Time 4385.399999998423
received Time: 5092.1000000009935	 sent Time 4385.399999998423
received Time: 5721.0000000032815	 sent Time 4385.399999998423
received Time: 7161.900000008523	 sent Time 4385.399999998423
received Time: 5371.300000002009	 sent Time 4385.399999998423
received Time: 5800.500000003571	 sent Time 4385.399999998423
received Time: 7177.40000000858	 sent Time 4385.399999998423
received Time: 5059.400000000875	 sent Time 4385.399999998423
received Time: 6772.600000007107	 sent Time 4385.399999998423
received Time: 5353.900000001946	 sent Time 4385.399999998423
received Time: 8286.100000012613	 sent Time 4385.399999998423
received Time: 4425.399999998568	 sent Time 4385.399999998423
received Time: 6342.600000005543	 sent Time 4385.399999998423
received Time: 5371.200000002009	 sent Time 4385.399999998423
received Time: 7177.50000000858	 sent Time 4385.399999998423
received Time: 5428.100000002216	 sent Time 4385.399999998423
received Time: 5428.0000000022155	 sent Time 4385.399999998423
received Time: 5060.000000000877	 sent Time 4385.399999998423
received Time: 6342.300000005542	 sent Time 4385.399999998423
received Time: 5092.200000000994	 sent Time 4385.399999998423
received Time: 4543.299999998997	 sent Time 4385.399999998423
received Time: 5059.700000000876	 sent Time 4385.399999998423
received Time: 5271.600000001647	 sent Time 4385.399999998423
received Time: 6172.600000004924	 sent Time 4385.399999998423
received Time: 8074.900000011845	 sent Time 4385.399999998423
received Time: 4385.599999998423	 sent Time 4385.399999998423
received Time: 4415.8999999985335	 sent Time 4385.399999998423
received Time: 4805.099999999949	 sent Time 4385.399999998423
received Time: 5862.800000003797	 sent Time 4385.399999998423
received Time: 7407.600000009417	 sent Time 5285.400000001697
